formation_year,oos_year,ISIN,NAME,weight
2013,2014,IE00BD1RP616,BANK OF IRELAND GROUP,3.2785553890479364e-18
2013,2014,IE00BF0L3536,AIB GROUP,0.0
2013,2014,IE00BK9ZQ967,TRANE TECHNOLOGIES,1.6495470994422424e-20
2013,2014,IE00BLP1HW54,AON CLASS A,0.03481539522915769
2013,2014,IE00BTN1Y115,MEDTRONIC,0.0
2013,2014,IE00BY7QL619,JOHNSON CONTROLS INTL.,0.0
2013,2014,IL0002810146,ICL GROUP,1.490838907187506e-18
2013,2014,IL0006046119,LEUMI LTD.,0.0
2013,2014,IL0006625771,BANK HAPOALIM B M LTD.,1.3479794533895749e-19
2013,2014,IL0006954379,MIZRAHI TEFAHOT LTD.,0.0
2013,2014,IL0010811243,ELBIT SYSTEMS,0.0
2013,2014,IT0000062072,GENERALI,0.0
2013,2014,IT0000062957,MEDIOBANCA BC.FIN,4.449146103936893e-19
2013,2014,IT0000072618,INTESA SANPAOLO,5.066275362790345e-19
2013,2014,IT0001137345,AUTOGRILL DEAD - DELIST.24/07/23,0.0
2013,2014,IT0001233417,A2A,3.512035420452693e-19
2013,2014,IT0001347308,BUZZI,5.002429604259094e-18
2013,2014,IT0001469383,ARNOLDO MONDADORI EDI.,0.0
2013,2014,IT0003128367,ENEL,0.0
2013,2014,IT0003132476,ENI,0.0
2013,2014,IT0003153415,SNAM,0.0
2013,2014,IT0003242622,TERNA RETE ELETTRICA NAZ,0.0
2013,2014,IT0003497168,TELECOM ITALIA,2.940371202546694e-18
2013,2014,IT0003506190,ATLANTIA DEAD - DELIST.09/12/22,0.0
2013,2014,IT0003856405,LEONARDO,0.0
2013,2014,IT0004810054,UNIPOL ASSICURAZIONI SPA,2.77279745215239e-19
2013,2014,IT0005239360,UNICREDIT,0.0
2013,2014,IT0005495657,SAIPEM,0.0
2013,2014,IT0005508921,BANCA MONTE DEI PASCHI,0.0
2013,2014,JE00B8KF9B49,WPP,8.783243777337497e-19
2013,2014,JE00BJ1DLW90,MAN GROUP,1.883661127219039e-18
2013,2014,LU0075646355,SUBSEA 7,6.129441350085349e-19
2013,2014,NL0000008977,HEINEKEN HOLDING,1.4085584688976113e-18
2013,2014,NL0000009082,KPN KON,1.0418170249400225e-18
2013,2014,NL0000009165,HEINEKEN,1.2377160965739724e-18
2013,2014,NL0000009538,PHILIPS ELTN.KONINKLIJKE,0.0
2013,2014,NL0000226223,STMICROELECTRONICS,2.350954501553185e-18
2013,2014,NL0000235190,AIRBUS,0.0
2013,2014,NL0000289213,WERELDHAVE,0.0
2013,2014,NL0000337319,BAM GROEP KON.,9.84341260148075e-19
2013,2014,NL0000360618,SBM OFFSHORE,8.837228205304899e-19
2013,2014,NL0000379121,RANDSTAD,0.0
